rank,universitySlug,nameFa,iscCategory,iscRank,score,confidence,evidenceCoverage,activeWeight,portalRankWithinISCClass,rankedPortalsInISCClass,metric_documents,metric_organization,metric_library,metric_laboratories,metric_systems,metric_industryTech,metric_dataQuality,metric_findability
67,sahand,دانشگاه صنعتی سهند,صنعتی,8,70.1,100,100,100,13,16,73,81.7,70,70,35,55,100,75
68,jundi-shapur-dezful,دانشگاه صنعتی جندی شاپور دزفول,صنعتی,16,70.1,100,100,100,14,16,73,81.7,70,70,35,55,100,75
69,chabahar-maritime,دانشگاه دریانوردی و علوم دریایی چابهار,جامع,51,70.1,100,100,100,44,50,73,81.7,70,70,45,45,100,75
70,bam-higher-ed,مجتمع آموزش عالی بم,جامع,65,68.6,100,100,100,45,50,73,81.7,70,70,32.5,45,100,75
71,malayer,دانشگاه ملایر,جامع,55,68.2,95,93,88,46,50,73,72.5,70,,40,45,100,75
72,khorramshahr-marine,دانشگاه علوم و فنون دریایی خرمشهر,جامع,49,67.8,89.9,86,88,47,50,73,72.5,70,,37.5,45,100,75
73,mazandaran,دانشگاه مازندران,جامع,26,67.3,89.9,86,88,48,50,73,63.3,70,70,17.5,,100,75
74,applied-science,دانشگاه جامع علمی کاربردی,زیرنظام,4,63.9,89.9,86,88,3,3,73,63.3,70,,17.5,45,100,75
75,eghlid-higher-ed,مرکز آموزش عالی اقلید,جامع,67,63.9,89.9,86,80,49,50,,72.5,70,70,22.5,45,100,68.8
76,kgut,دانشگاه تحصیلات تکمیلی صنعتی و فناوری پیشرفته کرمان,صنعتی,10,63.5,100,100,100,15,16,45.3,72.5,70,70,35,55,100,75
77,kurdistan,دانشگاه کردستان,جامع,19,63.4,89.9,86,90,50,50,37.8,72.5,,70,17.5,90,100,75
78,qom-technology,دانشگاه صنعتی قم,صنعتی,15,61.1,100,100,100,16,16,37.8,81.7,70,70,32.5,45,100,70
79,national-defense,دانشگاه عالی دفاع ملی,دستگاه اجرایی,6,59.6,89.9,86,88,4,4,54.3,63.3,70,,17.5,45,100,75
